time,"ADC0","ADC1"
"2018-09-26 09:25:56.911619",1332,1343,
"2018-09-26 09:30:55.920279",1332,1343,
"2018-09-26 09:35:55.953989",1332,1343,
"2018-09-26 09:40:56.018797",1332,1343,
"2018-09-26 09:45:56.110071",1332,1343,
"2018-09-26 09:50:56.152819",1332,1343,
"2018-09-26 09:55:56.196709",1332,1343,
"2018-09-26 10:00:56.253786",1332,1343,
"2018-09-26 10:05:56.321208",1332,1343,
"2018-09-26 10:10:56.402787",1332,1343,
"2018-09-26 10:15:56.503859",1332,1343,
"2018-09-26 10:20:56.834610",1332,1343,
"2018-09-26 10:25:56.888784",1332,1343,
"2018-09-26 10:30:56.993331",1332,1343,
"2018-09-26 10:35:56.075762",1332,1343,
"2018-09-26 10:40:56.151806",1332,1343,
"2018-09-26 10:45:56.251265",1332,1343,
"2018-09-26 10:50:56.266826",1332,1343,
"2018-09-26 10:55:56.332839",1332,1344,
"2018-09-26 11:00:56.407668",1332,1344,
"2018-09-26 11:05:56.476963",1332,1344,
"2018-09-26 11:10:56.513967",1332,1344,
"2018-09-26 11:15:56.596579",1332,1344,
"2018-09-26 11:20:56.790218",1332,1344,
"2018-09-26 11:25:56.860499",1332,1344,
"2018-09-26 11:30:56.886786",1332,1344,
"2018-09-26 11:35:56.909315",1332,1344,
"2018-09-26 11:40:55.974781",1332,1344,
"2018-09-26 11:45:55.996396",1332,1344,
"2018-09-26 11:50:56.059406",1332,1344,
"2018-09-26 11:55:56.163184",1332,1344,
"2018-09-26 12:00:56.234020",1332,1344,
"2018-09-26 12:05:56.325815",1332,1344,
"2018-09-26 12:10:56.463713",1332,1344,
"2018-09-26 12:15:56.541653",1332,1344,
"2018-09-26 12:20:56.821963",1332,1344,
